Title,Prices,Ratings
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"49,990",4.4
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Cor...,"53,990",4.4
MSI Katana GF66 Core i7 11th Gen - (16 GB/512 GB SSD/Wi...,"79,990",4.3
Lenovo IdeaPad Ryzen 5 Hexa Core 5600H - (8 GB/512 GB S...,"49,990",4.4
HP Victus Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Wi...,"57,990",4.2
Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB S...,"50,990",4.3
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H ...,"51,990",4.4
Lenovo IdeaPad Core i5 11th Gen - (8 GB/512 GB SSD/Wind...,"52,990",4.3
acer Aspire 7 Core i5 12th Gen - (16 GB/512 GB SSD/Wind...,"61,990",4.3
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H ...,"65,990",4.5
Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H ...,"57,990",4.4
HP OMEN Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB ...,"1,09,990",4.4
ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Cor...,"87,990",4.5
MSI Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/...,"1,19,990",4.5
HP Victus Intel Core i5 11th Gen - (16 GB/512 GB SSD/Wi...,"65,990",4.6
HP OMEN Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB S...,"77,990",4.8
acer Aspire 7 Core i5 12th Gen - (8 GB/512 GB SSD/Windo...,"57,990",4.3
MSI Katana GF66 Core i5 12th Gen - (16 GB/512 GB SSD/Wi...,"76,990",4.6
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"54,990",4.5
Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H - (16 GB/1 ...,"1,39,990",4.7
ASUS TUF Dash F15 Core i7 12th Gen - (16 GB/1 TB SSD/Wi...,"95,990",4.4
acer Nitro 5 Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SS...,"63,990",4.4
acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/51...,"52,990",4.4
Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB...,"59,990",4.3
HP Victus Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Wi...,"69,990",4.3
HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/W...,"82,990",
DELL G15 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 1...,"84,701",4.2
DELL Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD...,"1,05,990",
MSI Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home...,"52,990",4.4
acer Aspire 7 Core i5 12th Gen - (8 GB/512 GB SSD/Windo...,"69,990",4.3
ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5-4600H - (8...,"59,990",4.5
Lenovo Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen -...,"63,990",4.2
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H ...,"72,990",4.5
DELL Ryzen 7 Octa Core AMD R7-6800H - (16 GB/512 GB SSD...,"99,990",5
ASUS TUF Gaming A17 (2022) with 90Whr Battery Ryzen 7 O...,"88,990",4.8
Lenovo Legion 5 Pro Ryzen 7 Octa Core 6800H - (16 GB/1 ...,"1,54,990",
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (8 ...,"77,990",4.5
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H ...,"63,990",4.5
MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 58...,"79,990",4.5
Lenovo IdeaPad Gaming Ryzen 7 Octa Core 5800H - (16 GB/...,"90,990",
